,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_poly,y_kpca_poly,x_kpca_rbf,y_kpca_rbf,x_kpca_cos,y_kpca_cos,cluster_kpca_cos
0,Retail,Other,12669,9656,7561,214,2674,1338,-0.2981455011525595,-0.3076719812826458,0.01929120312455266,-0.04352125537993326,0.50478930151584,0.009622306647378284,3
1,Retail,Other,7057,9810,9568,1762,3293,1776,-0.2726130325059709,-0.24876242458611034,0.05105268167686912,-0.07216121643895095,0.8899412223120098,-0.2628329463279437,1
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.5578704880415544,-0.35610235773029497,0.08574720526853885,0.0053748056083468615,0.4739940541267172,0.2356868332458663,1
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.2634188126883906,-0.4540227081713512,-0.10867146372972604,0.0618053575555065,-0.6186114271241638,0.3701305442802816,4
4,Retail,Other,22615,5410,7198,3915,1777,5185,0.12692164269260345,-0.4327330336684861,-0.010584823919029606,0.13039595190677222,0.06889953794312527,0.8618293827365124,0
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.3070092865660386,-0.3932274030478147,-0.022689307544643263,-0.05591670815817777,0.10295629527946534,-0.3304564801092653,3
6,Retail,Other,12126,3199,6975,480,3140,545,-0.30381151276919177,-0.40763389268107375,-0.03856135940759328,-0.05299146967424458,-0.09216796241777606,-0.2898919276536128,2
7,Retail,Other,7579,4956,9426,1669,3321,2566,-0.2708609871435919,-0.34459349932142863,0.012456591797648141,-0.06284235014306147,0.5540934639173399,-0.34755086203661456,3
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.3085904866828047,-0.43173554094180616,-0.05537247231677773,-0.09219837799359773,-0.15578901423447644,-0.6896927304727348,2
9,Retail,Other,6006,11093,18881,1159,7425,2098,-0.21822231916402274,0.3978422871901099,0.2138076887411405,-0.10567076951374556,1.1648509491774437,0.023746724906468373,1
10,Retail,Other,3366,5403,12974,4400,5977,1744,-0.267595777947227,-0.15746193071258466,0.08343221612812225,-0.08421181820794553,0.8649020932926704,-0.19286306252342586,1
11,Retail,Other,13146,1124,4523,1420,549,497,-0.3050299690350554,-0.4462527274769139,-0.11163122641758064,-0.014823604315698237,-0.652441695278855,-0.10638673171860988,4
12,Retail,Other,31714,12319,11757,287,3881,2931,-0.10356968462704493,-0.0273204368567004,0.10230821405254913,0.12839447647789726,0.5189256754099233,0.8891844129165535,0
13,Retail,Other,21217,6208,14982,3095,6707,602,-0.2764184584189026,0.0030736813900530753,0.10155215337569967,0.030143154654894557,0.7459587900333245,0.6652437528164215,1
14,Retail,Other,24653,9465,12091,294,5058,2168,-0.22432587265085646,-0.06168660986763196,0.0920864602184881,0.05058129711099315,0.6716997036238866,0.7605400813714236,1
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.29054593146059965,-0.4454046523816212,-0.1076602253552069,-0.051567338996904834,-0.5245171920456184,-0.3477885584442487,2
16,Retail,Other,1020,8816,12121,134,4508,1080,-0.3033882248047769,-0.16269507062885574,0.0858196710882331,-0.15028108744967572,0.851935813654664,-0.5460352667323773,3
17,HoReCa,Other,5876,6157,2933,839,370,4478,-0.1470975848442048,-0.45207078313067206,-0.04972758049423028,-0.03899865898213934,-0.0332202932966469,-0.11493113644620075,2
18,Retail,Other,18601,6327,10099,2205,2767,3181,-0.17402286197948866,-0.3225670165761409,0.01840411352847461,0.0427765319943561,0.3876603752213999,0.8429922154646662,0
19,HoReCa,Other,7780,2495,9464,669,2518,501,-0.3010543559194859,-0.40257064286019895,-0.031425390697358384,-0.08575320971588822,0.044765436443674464,-0.5527699503922407,2
20,Retail,Other,17546,4519,4602,1066,2259,2124,-0.2916872427258564,-0.4258445092555899,-0.052685074365122944,0.02019007920357812,-0.30752089028589963,0.4431883052888924,4
21,HoReCa,Other,5567,871,2010,3383,375,569,-0.3099452492021494,-0.4229278704853105,-0.12828631164545032,-0.04423634915020913,-0.6188073618880081,-0.38761277604787375,2
22,HoReCa,Other,31276,1917,4469,9408,2381,4334,0.19915563842794068,-0.5010290581069262,-0.05330620023301337,0.2724725059522202,-0.15600433489142174,1.0050370853124675,0
23,Retail,Other,26373,36423,22019,5154,4337,16523,6.815609911752717,1.6934386261938463,0.4815365137405561,0.3263319956236015,0.7065213342862829,0.625031246523566,1
24,Retail,Other,22647,9776,13792,2915,4482,5778,0.3267597144260008,-0.06446410136472394,0.12729016855284492,0.10548881573661724,0.6516647402081199,0.8093177360160564,0
25,Retail,Other,16165,4230,7595,201,4003,57,-0.2898847683084981,-0.3676126454694703,-0.01660057966952401,-0.03186153735156394,0.11452974129428185,0.06812692646640463,3
26,HoReCa,Other,9898,961,2861,3151,242,833,-0.3148377960277581,-0.4324686011330274,-0.12623320839993846,-0.012384044993491843,-0.7423357127810754,-0.1765751160825628,4
27,HoReCa,Other,14276,803,3045,485,100,518,-0.29741308388636395,-0.437359321401668,-0.12891977602172994,-0.010709830309424288,-0.6391505057184969,-0.07438347274703097,4
28,Retail,Other,4113,20484,25957,1158,8604,5206,0.3963560702830484,1.5256292130438616,0.4060158040037918,-0.06691009558998409,1.1249453280505726,0.21303748583376267,1
29,HoReCa,Other,43088,2100,2609,1200,1107,823,-0.2934215073644048,-0.4543479072672406,-0.09910289471760844,0.2461312632614061,-0.27649261022401983,0.8502143237539174,0
30,HoReCa,Other,18815,3610,11107,1148,2134,2963,-0.238772778919622,-0.3678449613147303,-0.006548965667928594,0.03165333366555495,0.16493083317346688,0.6234542505990084,0
31,HoReCa,Other,2612,4339,3133,2088,820,985,-0.31801134320941377,-0.440150650329745,-0.08190986561616026,-0.08614389872922991,-0.3202832277448936,-0.6543615200910102,2
32,HoReCa,Other,21632,1318,2886,266,918,405,-0.2977784307600317,-0.4511950485242581,-0.1179837841247558,0.042953376176366194,-0.5331976714561588,0.30969511350508777,4
33,HoReCa,Other,29729,4786,7326,6130,361,1083,-0.23404385397296154,-0.440856828329846,-0.06717314637220556,0.18896420317247264,-0.2657127763492753,1.016017675868507,0
34,HoReCa,Other,1502,1979,2262,425,483,395,-0.2825243684587114,-0.431124310644887,-0.10937543596189343,-0.11220734992404488,-0.3553345601724844,-0.6617378578423458,2
35,Retail,Other,688,5491,11091,833,4239,436,-0.3003026787302078,-0.2845043853309508,0.039355317630925535,-0.14838833626514605,0.6000385488030906,-0.6994720898570785,3
36,HoReCa,Other,29955,4362,5428,1729,862,4626,-0.028099787933821258,-0.4545393841596319,-0.04786021901594165,0.16819131212901547,-0.10896559076293667,0.8729278267081001,0
37,Retail,Other,15168,10556,12477,1920,6506,714,-0.27541573058046925,0.04826659169684554,0.12168745736388277,-0.029879362089009924,1.0110854714933872,0.3545071689871445,1
38,Retail,Other,4591,15729,16709,33,6956,433,-0.2646822477707131,0.4612409913969019,0.2234517100995397,-0.13294725170247054,1.0669990965728449,-0.08668972605110759,1
39,HoReCa,Other,56159,555,902,10002,212,2916,0.11743656124639132,-0.4936650813926399,-0.09197928408390893,0.4882255120259537,-0.26581608977093296,1.0520557688481051,0
40,HoReCa,Other,24025,4332,4757,9510,1145,5864,0.5211386864964702,-0.5306268248253913,-0.03549004979792707,0.23298080231253285,-0.07066330438118032,0.8768592401126596,0
41,HoReCa,Other,19176,3065,5956,2033,2575,2802,-0.250213278986651,-0.4253101361916298,-0.046679043861847666,0.049027935929454036,-0.22676153440559066,0.6812704745370017,0
42,Retail,Other,10850,7555,14961,188,6899,46,-0.28181392915672016,0.04021728693645565,0.12287208636156795,-0.09492180037452873,0.9339095988837428,-0.04149593103471435,1
43,Retail,Other,630,11095,23998,787,9529,72,-0.2562052639199857,0.84134618993139,0.2863860138471613,-0.16704276671254667,1.07821103053817,-0.12640716133471008,1
44,Retail,Other,9670,7027,10471,541,4618,65,-0.2945743504891715,-0.24187088414841645,0.04350567389968539,-0.08766822213818838,0.6993504189316263,-0.3014026813903075,3
45,Retail,Other,5181,22044,21531,1740,7353,4985,0.394885843093879,1.169948487274025,0.3606610266685421,-0.050450125110166735,1.083771145978029,0.2388126338146781,1
46,Retail,Other,3103,14069,21955,1668,6792,1452,-0.21455318934983145,0.621696573276318,0.25574296231832283,-0.1209379129386992,1.1362540837239699,-0.007844312938151387,1
47,Retail,Other,44466,54259,55571,7782,24171,6465,4.093732795802273,14.692915798649453,0.8419803142771373,0.3686979911072251,1.0468195374740166,0.6355703661769264,1
48,Retail,Other,11519,6152,10868,584,5121,1476,-0.2995132585838917,-0.21596353431575704,0.05388404572326199,-0.06407149146570837,0.8848206201740577,-0.06628411696761492,1
49,Retail,Other,4967,21412,28921,1798,13583,1163,-0.06482608794969186,2.5861114204334474,0.4937645845458548,-0.09404514473948238,1.1659077580747392,0.165532027745553,1
50,HoReCa,Other,6269,1095,1980,3860,609,2162,-0.2963789535226157,-0.43149394490007786,-0.11530267948384043,-0.021108900891813463,-0.5820706110905141,-0.2261973041128459,2
51,HoReCa,Other,3347,4051,6996,239,1538,301,-0.2930473356730425,-0.4292404464320469,-0.047895865388571,-0.1175395536165788,-0.028722944939419355,-0.7430876992955523,2
52,Retail,Other,40721,3916,5876,532,2587,1278,-0.28195576058891964,-0.4038268198482101,-0.04277279319699648,0.20843222100452616,-0.08674957266417176,0.8909028791210408,0
53,Retail,Other,491,10473,11532,744,5611,224,-0.2957800760501953,-0.0782111991967772,0.1087672477999238,-0.1560770333523098,0.8740988275952085,-0.4758487853096409,3
54,HoReCa,Other,27329,1449,1947,2436,204,1333,-0.3033764973789319,-0.4446285548249306,-0.13021065772024998,0.1318116192029472,-0.5661236177888781,0.6849596429801805,0
55,HoReCa,Other,5264,3683,5005,1057,2024,1130,-0.3166737745118434,-0.43255491396574797,-0.05759765575587335,-0.08704723205135803,-0.2019424298597645,-0.7210255982115943,2
56,Retail,Other,4098,29892,26866,2616,17740,1340,0.14101335852998673,4.031671047627667,0.6094793361999087,-0.05355914852493601,1.1345482302711059,0.20080584685527672,1
57,Retail,Other,5417,9933,10487,38,7572,1282,-0.2904807039721234,0.016404434643237004,0.1304070775048375,-0.12568895258714735,0.9906745830480064,-0.24104973627313706,1
58,HoReCa,Other,13779,1970,1648,596,227,436,-0.2989190069457125,-0.4365101010193981,-0.1285164231160951,-0.013051553682929021,-0.6503694520222109,-0.1023503520359435,4
59,HoReCa,Other,6137,5360,8040,129,3084,1603,-0.3124166599732007,-0.3662710760240711,-0.0016139117888552133,-0.09765768631090292,0.3731213086902089,-0.6586893364667846,3
60,Retail,Other,8590,3045,7854,96,4095,225,-0.285289505143182,-0.3805267039845371,-0.016689082697690438,-0.09341087691452192,0.17949326231368706,-0.5060044485503938,3
61,Retail,Other,35942,38369,59598,3254,26701,2017,1.2368806766377975,13.099663179633296,0.8648046783651523,0.24429755381179355,1.0963961681567709,0.5179666938410357,1
62,Retail,Other,7823,6245,6544,4154,4074,964,-0.2998897025424542,-0.3546973375191977,-0.0005185477618028033,-0.043776500230868313,0.3534299733656383,-0.3086495975566465,3
63,Retail,Other,9396,11601,15775,2896,7677,1295,-0.23412128286160436,0.2989169830375432,0.18617448810011888,-0.06541848444233858,1.1558068953920957,0.17863504925210574,1
64,HoReCa,Other,4760,1227,3250,3724,1247,1145,-0.3161670433251774,-0.43868088892308094,-0.10200885200251436,-0.0493761144211477,-0.5182627933852383,-0.4322266616355372,2
65,Retail,Other,85,20959,45828,36,24231,1423,0.09731608801763422,6.793661579793136,0.7454382883683368,-0.06533506205157537,1.148395738588308,0.13524693209006586,1
66,HoReCa,Other,9,1534,7417,175,3468,27,-0.25642439388539856,-0.4160073416350586,-0.033249720472733495,-0.1524772736029479,0.10625886719030354,-0.7534036783570165,3
67,Retail,Other,19913,6759,13462,1256,5141,834,-0.2898851148886744,-0.12126245446110805,0.0715947032593738,0.005902607167775862,0.7219711661891848,0.5778175984956201,1
68,HoReCa,Other,2446,7260,3993,5870,788,3095,-0.1471591713195843,-0.4484752959793196,-0.03936714058031607,-0.021406841402663253,-0.01517272074013991,-0.09582649452127724,2
69,HoReCa,Other,8352,2820,1293,779,656,144,-0.28779744744492497,-0.4390176515485401,-0.11663640841520005,-0.05857528374337511,-0.5404623323910834,-0.4177517515871896,2
70,HoReCa,Other,16705,2037,3202,10643,116,1365,-0.18469117060427845,-0.4706413113118867,-0.11253901009635098,0.1508922118258096,-0.4214474336569585,0.5814482961589551,0
71,HoReCa,Other,18291,1266,21042,5373,4173,14472,3.0019037321481186,-0.36679450725075735,0.2047062142622599,0.2131741651316792,0.42844677839838063,0.5388427699211276,0
72,HoReCa,Other,4420,5139,2661,8872,1321,181,-0.2852857901963016,-0.4545287538507027,-0.07747848926591877,0.010071765757151177,-0.2354513943970499,-0.0033438994733022685,4
73,Retail,Other,19899,5332,8713,8132,764,648,-0.2386454467841368,-0.429840687592324,-0.048384305509986826,0.12266014453787455,-0.18846182834152414,0.8126110518976686,0
74,Retail,Other,8190,6343,9794,1285,1901,1780,-0.29758196275856424,-0.3604623284885609,0.00019349855055919785,-0.06341986887844105,0.4250958639726379,-0.4536534663942193,3
75,HoReCa,Other,20398,1137,3,4407,3,975,-0.3054147984057139,-0.4210526080689361,-0.15126037647529794,0.09866257206478347,-0.7545245986949449,0.477577904138473,4
76,HoReCa,Other,717,3587,6532,7530,529,894,-0.2882314312798132,-0.44963779743796384,-0.06678617566566622,-0.03344141445145296,-0.1647623281565936,-0.21796638427731985,2
77,Retail,Other,12205,12697,28540,869,12034,1009,-0.18717140749620767,1.6381339375533597,0.3810463500241239,-0.07416543065463352,1.1206394962774135,0.24194671092944955,1
